ticket_id,review,category,rating,emotion,confidence,priority
TKT-0284,Very Bad experience..Idea Nano Sim networks are not getting detected..Redmi store reps stated that t,mobile,1,anger/sadness,77.35%,HIGH
TKT-0285,"I got a defective, writing speed sometimes at 4-5mbps and some other times 12-13mbps",mobile,3,anger/sadness,50.56%,HIGH
TKT-0293,All are working well.,mobile,5,anger/sadness,76.11%,HIGH
TKT-0295,Not up to the mark,mobile,1,neutral,36.95%,MEDIUM
TKT-0296,This is not a good prodcut ..after one month it's get stop working ..it's lite become dull n not pro,refrigerator,1,anger/sadness,92.15%,HIGH
TKT-0310,My phone is yet not start plz help and guide it has been locked,mobile,1,anger/sadness,51.62%,HIGH
TKT-0336,Really dissapointed. The charger is not working,smartTv,1,anger/sadness,47.42%,HIGH
TKT-0352,Not working,smartTv,1,anger/sadness,76.11%,HIGH
TKT-0359,The phone is getting slow day by day. The battery backup is not up to the mark. My realme2 had aroun,mobile accessories,3,anger/sadness,48.15%,HIGH
TKT-0394,Guys don't waste money on buy iPhones...iPhone company do very smart business with people. Don't buy,mobile accessories,1,anger/sadness,93.10%,HIGH
TKT-0396,Poor quality with NO battery life,mobile,4,anger/sadness,42.76%,HIGH
TKT-0399,Every thing is gud but product is not gud 3 month back i buy that speaker now it's not working brand,smartTv,5,anger/sadness,46.39%,HIGH
TKT-0407,During call the volume is very slow and other person can't hear my voice. Please replace the product,mobile accessories,1,anger/sadness,80.65%,HIGH
TKT-0419,The talk volume on phone calls is extremely low. Have installed Volume Booster App which is a margin,mobile,3,anger/sadness,75.40%,HIGH
TKT-0429,The door is very tight.The space is not rationally partitioned. I would like to return and replace i,refrigerator,3,anger/sadness,39.97%,HIGH
TKT-0435,In this item 55-250 lance is duplicate Clearity is very bad,refrigerator,1,anger/sadness,57.13%,HIGH
TKT-0464,Bad everything,smartTv,1,anger/sadness,67.42%,HIGH
TKT-0483,Very very worst product..,mobile accessories,1,anger/sadness,96.48%,HIGH
TKT-0489,Loss,smartTv,4,anger/sadness,47.86%,HIGH
TKT-0504,Totally Chinese,mobile,2,anger/sadness,49.03%,HIGH
TKT-0519,Worst software experience i should say,mobile,1,anger/sadness,84.64%,HIGH
TKT-0528,It’s gone bad within a month,mobile,1,anger/sadness,88.74%,HIGH
TKT-0533,WASTE SCREEN GLASS IS GIVEN MORE TIME DAMAGED ...FIBER GLASS IS NOT GIVEN,mobile,1,anger/sadness,78.18%,HIGH
TKT-0537,Bad quality,smartTv,1,anger/sadness,91.64%,HIGH
TKT-0555,There is internet conecting &network issue with the phone,mobile,3,anger/sadness,44.58%,HIGH
TKT-0567,Display problem occurs within 5 months,smartTv,1,anger/sadness,74.46%,HIGH
TKT-0571,There are many issues to criticize. First of all within a month visit to customer service started...,mobile,3,anger/sadness,68.27%,HIGH
TKT-0574,I had an issue with waterproofing of the phone as proper functioning of the ear speaker returned 2 d,mobile,5,anger/sadness,52.93%,HIGH
TKT-0577,Fingerprint reader is not working after 3rd day ... In setting there is no option for fingers print.,mobile,1,anger/sadness,60.19%,HIGH
TKT-0585,Poor product! Neither installed properly nor serviced by professionals! We are still struggling!,smartTv,1,anger/sadness,89.89%,HIGH
TKT-0588,It's not FHD you can't see any video in ratio of 1024 and also a very bad camera images quantity . I,mobile accessories,3,anger/sadness,41.92%,HIGH
TKT-0596,"In a second month, this cable stop work, phone not charge properly, take 1hr to charge 10% it do not",mobile,2,anger/sadness,54.33%,HIGH
TKT-0597,wrost product ever,smartTv,1,anger/sadness,58.56%,HIGH
TKT-0599,The base quality is not upto the mark as mention in the description. Unsatisfied with the quality. I,mobile,1,anger/sadness,67.18%,HIGH
TKT-0618,Not up to the mark,books,2,neutral,36.95%,MEDIUM
TKT-0625,2 manufacturing damages in door,refrigerator,1,anger/sadness,48.81%,HIGH
TKT-0629,"Getting restarted frequently,camera also not good",mobile,1,anger/sadness,56.89%,HIGH
TKT-0630,Hi Sharing review after having tough times with this phone. I bought this product though within a we,mobile accessories,4,anger/sadness,66.53%,HIGH
TKT-0632,The Phone was damaged. Small scratches on the sides. Never expected this would happen with the brand,mobile,1,anger/sadness,66.20%,HIGH
TKT-0641,Very bad experience with the iPhone XR I bought a iPhone XR and after 8 days it's automatically swit,mobile,1,anger/sadness,62.15%,HIGH
TKT-0642,Worst purchase ever from amazon disappointed with honor in just 6 months the phone feels like it is ,mobile,1,anger/sadness,74.26%,HIGH
TKT-0658,i have returned,mobile accessories,5,anger/sadness,59.54%,HIGH
TKT-0664,the phone doesn't live upto its expectations as per the specs. processor speed is very disappointing,mobile,2,neutral,39.76%,MEDIUM
TKT-0673,Received a damaged product from Amazon. Touch is not working properly. Mobile is restarted and scree,mobile,1,anger/sadness,98.24%,HIGH
TKT-0678,box m lightning conductor nhi aaya,smartTv,1,anger/sadness,67.49%,HIGH
TKT-0691,Mobile box damage & packing very very worst packing mobile is good,mobile,1,anger/sadness,46.92%,HIGH
TKT-0697,"Worst Fitbit band!! It counts steps when I am asleep. When you are on bike, steps are counted again.",refrigerator,1,anger/sadness,71.66%,HIGH
TKT-0709,New mobile phone received But not received eyear phone LEED M30s today 30/92019,mobile,2,anger/sadness,56.75%,HIGH
TKT-0710,Worse experience with this offer session ... I wanted to exchange my old phone with iPhone 6 but my ,mobile accessories,1,anger/sadness,89.17%,HIGH
TKT-0718,Serious network issue. Don't think of purchasing it if your area have moderate signal quality as sho,mobile,1,anger/sadness,51.17%,HIGH
TKT-0721,Battery life worst,mobile,1,anger/sadness,64.75%,HIGH
TKT-0725,Worst service and worst product. Now I feel wrongly purchase from Amazon. Next time not buy.,mobile,1,anger/sadness,96.09%,HIGH
TKT-0728,Camera is a big disappointment in this phone. All other specs are good. If anyone looking for a good,mobile,3,anger/sadness,50.63%,HIGH
TKT-0743,This is very good hardware and speaker. However very much handicapped by amazon on software front. I,smartTv,3,neutral,46.33%,MEDIUM
TKT-0761,Mobile is good and other feature is fine but we are facing heat issue and asked for amazon team for ,mobile,3,anger/sadness,78.35%,HIGH
TKT-0766,Touch screen not work.,mobile accessories,1,anger/sadness,43.75%,HIGH
TKT-0767,Really a bad experience,mobile,1,anger/sadness,81.32%,HIGH
TKT-0773,Very Bad Phone,mobile accessories,1,anger/sadness,74.41%,HIGH
TKT-0790,mobile over heating..,mobile,3,anger/sadness,62.44%,HIGH
TKT-0802,Product not working within 1 month from purchase,mobile accessories,1,anger/sadness,84.99%,HIGH
TKT-0806,"Samsung phone are very defective and working very slowly, it's proximity is not working, almost all ",mobile accessories,1,anger/sadness,96.73%,HIGH
TKT-0808,"I have booked a redmi5.. i got it after 4 days in Kerala. While unboxing the item, there is no plast",mobile accessories,1,anger/sadness,64.13%,HIGH
TKT-0813,Amazon is selling defective products. Face id not working properly. It unlock with multiple faces.,mobile,1,anger/sadness,81.76%,HIGH
TKT-0815,Quality is ok ok,refrigerator,3,neutral,44.05%,MEDIUM
TKT-0827,I dont know why.. Within 1 month my fingerprint reader stopped working.. But only when it feels itse,mobile accessories,4,anger/sadness,42.58%,HIGH
TKT-0843,After using for a period of 2 months I got a problem with its camera U can yourself see in the pictu,smartTv,1,anger/sadness,58.07%,HIGH
TKT-0847,This phone has some serious network issues. The same SIM when put into some other phone shows 80 to ,mobile,4,anger/sadness,49.62%,HIGH
TKT-0856,"Earphone sound is okay but of very poor quality. It miss the sound all the time. Calling, music gets",mobile,1,anger/sadness,71.10%,HIGH
TKT-0857,Facing the same issue of heating and battery even after replacement. Please process for refund. Also,mobile,1,anger/sadness,85.48%,HIGH
TKT-0863,This mobile is one of the worst phone in 2019 by Samsung don’t waste your money on this crap of Sams,mobile accessories,1,anger/sadness,98.32%,HIGH
TKT-0868,Don't Buy this Phone Battery backup Bhaut bekaar hai Bilkhul mat lena chahe tumhe kitna bhi discount,mobile,1,anger/sadness,75.54%,HIGH
TKT-0871,"I like the way it was, simply superb. But i felt a problem while using mobile on lying down, it does",mobile accessories,4,anger/sadness,65.95%,HIGH
TKT-0880,Candid Feedback to all the Amazon Viewers out there: STPL Seller seems to be a big FRAUD I have rece,mobile accessories,1,anger/sadness,96.76%,HIGH
TKT-0884,my sd card stopped working in 3months. its not a genuine one,mobile,1,anger/sadness,67.60%,HIGH
TKT-0891,Stopped working within 3 months..... Red led is glowing continuously whether it's in charging condit,smartTv,1,anger/sadness,79.50%,HIGH
TKT-0892,Hundred percent waste of money,mobile accessories,1,anger/sadness,92.63%,HIGH
TKT-0894,Poor customer service experience from Amazon and poor quality of the phone. The phone heats up very ,smartTv,2,anger/sadness,94.81%,HIGH
TKT-0902,"Initially when I bought the watch, everything goes good but suddenly after an update all the sensors",refrigerator,1,anger/sadness,56.82%,HIGH
TKT-0904,Worst mobile seen in my life.... Samsung care also don't know what's the problem in camera quality..,mobile,1,anger/sadness,92.92%,HIGH
TKT-0911,"Many features are missing in the phone, like call recording, dual app, screen shot capturing and man",mobile accessories,2,anger/sadness,39.95%,HIGH
TKT-0914,Hanging problem,mobile,2,anger/sadness,72.34%,HIGH
TKT-0915,Don't buy guys. I purchased it and returned due to somany problems..while taking images phone is ver,mobile,1,anger/sadness,94.78%,HIGH
TKT-0921,Expected a lot from the replacement i got for the earlier defective unit. However the replacement un,mobile,1,anger/sadness,92.68%,HIGH
TKT-0935,What the **** I received tv 10 days ago no one contact me for installation. Worest experience ever.,smartTv,1,anger/sadness,59.19%,HIGH
TKT-0944,"My iPhone battery drained within 20 days, don’t buy from amazon, they have no return policy. I am tr",smartTv,1,anger/sadness,97.61%,HIGH
TKT-0945,Not up to the mark,mobile,3,neutral,36.95%,MEDIUM
TKT-0956,After using for 2.5months phone battery started giving problem which was not expected.,mobile,1,anger/sadness,54.25%,HIGH
TKT-0969,Its totally wastage of money Camera quality is like old Chinese phones. And the price variation i bo,mobile,1,anger/sadness,78.64%,HIGH
TKT-0971,Major issue is earphone not supported in note 5 pro. I tried installed blancco smart check app as pe,mobile accessories,3,anger/sadness,86.94%,HIGH
TKT-0974,"HI, I am writing this review after using it for a month for doing development on Visual Studio. The ",smartTv,2,anger/sadness,54.83%,HIGH
TKT-0976,Camera quality very poor as mentioned 48 MP.,mobile accessories,2,anger/sadness,64.45%,HIGH
TKT-0981,"Network issues, voice issues, and no returns , and all this stared after d repalcement window closed",mobile,1,anger/sadness,87.66%,HIGH
TKT-0982,Not bad,refrigerator,5,anger/sadness,67.42%,HIGH
TKT-0990,Poor quality for charging. My one plus one charge so slowly. Didnt expect low quality product from B,mobile,2,anger/sadness,82.00%,HIGH
TKT-0992,Bad product after 6 month product was death,mobile,2,anger/sadness,86.14%,HIGH
TKT-0994,Worst decision ever to buy this laptop. Its very heavy and its looks are not same as it is shown in ,smartTv,1,anger/sadness,70.59%,HIGH
TKT-1009,Its not even one month am using this product and it has already started showing up problem...the pow,mobile,1,anger/sadness,67.29%,HIGH
TKT-1011,Broke within a week.,mobile,1,anger/sadness,54.86%,HIGH
TKT-1018,"Please don't buy guys I have received faulty one, after using 10-15min Mobile starts heating. There ",mobile accessories,1,anger/sadness,98.10%,HIGH
TKT-1028,Stopped working after 6 months. No more mi products for me,mobile,1,anger/sadness,90.29%,HIGH
TKT-1039,"Headset are included in this description,but we did not received it, completely dissatisfied",mobile accessories,1,anger/sadness,64.24%,HIGH
TKT-1040,The size of the phone is too small when compared with its competitors. This is way too disappointing,mobile,1,anger/sadness,53.78%,HIGH
TKT-1041,Fingerprint is very slowly working....😔,mobile accessories,3,anger/sadness,40.24%,HIGH
TKT-1042,"Let me tell you very frank bass is quite good not great, connectivity is worst, battery is average, ",mobile accessories,2,anger/sadness,69.76%,HIGH
TKT-1070,"Don’t buy this product. If in case, You purchased a Kevin SmartTV and some issue are facing within 1",smartTv,1,anger/sadness,92.79%,HIGH
TKT-1089,"Mi A2 very slow working. Again & again hanging problems, speaker problem, sensor problem, connectivi",mobile,2,anger/sadness,95.25%,HIGH
TKT-1116,Poor camera quality,mobile accessories,1,anger/sadness,74.91%,HIGH
TKT-1127,Not at all recommendable .Very slow in all aspects and you can not upgrade further this system.Five ,smartTv,1,anger/sadness,49.50%,HIGH
TKT-1128,I am very disappointed with this mi a3 phone it is very slow in term of performance while using inte,mobile accessories,1,anger/sadness,92.44%,HIGH
TKT-1140,1. Camera Quality is not good . It's like Zoom in & Zoom out in Ultra wide angle and normal . 2. If ,mobile,3,neutral,39.60%,MEDIUM
TKT-1144,picture quality bad,smartTv,1,anger/sadness,59.22%,HIGH
TKT-1145,"product is very bad,item description different and item is different , also i have request for retur",mobile,1,anger/sadness,95.96%,HIGH
TKT-1146,"It is not working , and it has not been a month while i am using it . A pathetic earphone Suggestion",mobile,1,anger/sadness,91.90%,HIGH
TKT-1171,Poor quality.... Right side not working Dnt buy,mobile,1,anger/sadness,92.76%,HIGH
TKT-1177,I really I'm starting to hate this phone. Problems I'm facing: Bugs:I don't know if this is software,mobile accessories,3,anger/sadness,48.88%,HIGH
TKT-1182,45 MP camera is not upto the mark its looks like 16 mp focus.Else phone is ok,mobile,3,neutral,54.04%,MEDIUM
TKT-1183,Though it is a good featured phone but sometimes it hangs and touch response automatically opens dra,mobile,4,anger/sadness,43.08%,HIGH
TKT-1185,Never take any xaomi's mobile they all are 3rd class phone.Once I was watching something in my phone,mobile accessories,1,anger/sadness,87.89%,HIGH
TKT-1186,Charger was not working.,refrigerator,2,anger/sadness,57.27%,HIGH
TKT-1197,I got product but dont have Anti-counterfeit label.How will I trust it. If it is not authentic like ,mobile,1,anger/sadness,53.17%,HIGH
TKT-1198,I used this phone only 3 days. Then this phone stuck and hang. Display suddenly blinking and switche,mobile accessories,1,anger/sadness,96.16%,HIGH
TKT-1202,It's a poor product with too much hype. Camera claims to be 48 MP but image quality does not match e,mobile accessories,1,anger/sadness,83.61%,HIGH
TKT-1204,It's not that good....and price also slashed 10k in just 2 weeks...this is most pathetic,refrigerator,1,anger/sadness,46.20%,HIGH
TKT-1205,Never buy this product....worst ....hang from very first day,smartTv,1,anger/sadness,94.52%,HIGH
TKT-1220,"2014 EDITION,, YELLOW PAGES,, TOO SMALL LETTERS",books,1,anger/sadness,37.81%,HIGH
TKT-1221,"Worst phone, super slow ,hangs a lot ,pub g is slow too hangs a lot battery issues ... A ohone with ",mobile,1,anger/sadness,84.50%,HIGH
TKT-1229,bad product I wish i could give 0 stars for durability and -0 stars for photronic company. My produc,smartTv,1,anger/sadness,91.67%,HIGH
TKT-1236,Not up to the mark,refrigerator,3,neutral,36.95%,MEDIUM
TKT-1241,"Worst mobile, never buy it. Stopped working with screen became black after three months is uses.",mobile,1,anger/sadness,96.20%,HIGH
TKT-1249,A disgrace. Camera has become awful and the pictures clicked don’t look real. Looks like a filter is,mobile,2,anger/sadness,66.35%,HIGH
TKT-1256,Earphon is missing,refrigerator,1,anger/sadness,56.20%,HIGH
TKT-1266,Dispaly Not good avergae phone I think my mistake beacsue I buy this phone,mobile accessories,2,anger/sadness,50.83%,HIGH
TKT-1273,Poor quality,mobile accessories,2,anger/sadness,88.49%,HIGH
TKT-1277,"My phone SAMSUNG GALAXY M20 heating up just after 10 minutes of a voice call, I purchased this phone",mobile accessories,2,anger/sadness,81.98%,HIGH
TKT-1292,Not sooo good. Ok product. Still lagging issues are there and speaker is not good. Some noisy and ec,mobile,1,anger/sadness,84.87%,HIGH
TKT-1295,"its screen caked on very second day while try to insert in wall mount ,very cheap quality ,and no du",smartTv,1,anger/sadness,66.75%,HIGH
TKT-1296,It does not have call recording options and no third party application supporting for the recording.,mobile,1,anger/sadness,63.13%,HIGH
TKT-1305,Scratch on the bottom... Unhappy with product,mobile accessories,1,anger/sadness,58.11%,HIGH
TKT-1308,I think the product is just fine but the sound quality and touch pad are pathetic. It seems their is,smartTv,3,anger/sadness,55.03%,HIGH
TKT-1314,Product is asm no compliment. But i did not get phone. But delivery saccesfull shown to n app. When ,mobile,1,anger/sadness,63.00%,HIGH
TKT-1315,Battery calibration not correct. Pain in ear after 1/2 hours.,mobile accessories,3,anger/sadness,38.67%,HIGH
TKT-1321,"Where is app download option, frustrating and what old model remote is given. Even the three year wa",smartTv,2,anger/sadness,68.56%,HIGH
TKT-1322,"Im a redmi regular user. I bought redmi y1 for my wife last year, redmi 6 pro this year.. i didn't s",mobile accessories,1,anger/sadness,91.23%,HIGH
TKT-1327,"Very nice but voice,poor",smartTv,4,anger/sadness,55.10%,HIGH
TKT-1328,"This phone has failed to meet the expectations . 1.The size has been decreased a lot , it could have",mobile accessories,3,anger/sadness,50.80%,HIGH
TKT-1332,Well this phone needs an update soon. At times apps hangs and they flicker 👍,mobile accessories,4,neutral,35.48%,MEDIUM
TKT-1350,The Iphone has been stuck on set up page after i tried restoring it.,mobile,1,anger/sadness,66.71%,HIGH
TKT-1361,I received a defective product and the screen was not turning on and I didn't get any help or replac,smartTv,1,anger/sadness,98.99%,HIGH
TKT-1362,Do not buy this phone at all I bought on Dec 2018 but with in 7 months it's performance is reducing ,mobile,1,anger/sadness,81.74%,HIGH
TKT-1363,Battery too bad,mobile,3,anger/sadness,62.58%,HIGH
TKT-1391,I'm ordering 2 Samsung GearS3 Frontier one piece good working..another piece battery back up very po,refrigerator,1,anger/sadness,84.44%,HIGH
TKT-1394,Recieved wrong product,smartTv,1,anger/sadness,64.20%,HIGH
TKT-1396,"Don't but it at all, only using it for 3 months and suddenly camera is not working... Worst phone",mobile accessories,1,anger/sadness,95.64%,HIGH
TKT-1398,"This laptop came with Windows 10 preinstalled, not sure if it's a problem of processor or RAM, but m",smartTv,2,anger/sadness,75.64%,HIGH
TKT-1400,Average quality,smartTv,2,neutral,58.64%,MEDIUM
TKT-1405,Very very bad gamer Mobile cast is high Overall both camera not good The customer don't solve my pro,mobile accessories,1,anger/sadness,78.83%,HIGH
TKT-1406,"Display is very bad,",smartTv,3,anger/sadness,63.61%,HIGH
TKT-1411,Screen is freezing unnecessarily and sometimes phone touch pad fails.i tried for the reset options a,mobile,2,anger/sadness,60.91%,HIGH
TKT-1417,"Pls pls don't buy this model from Samsung and this vendor, one of failure model from Samsung, I caug",mobile accessories,1,anger/sadness,98.23%,HIGH
TKT-1430,"Battery back up is not good. Mobile phone immediately heat up , very inconvenient to use. Voice is n",mobile,1,anger/sadness,64.35%,HIGH
TKT-1434,Didn't even turn on see the report I uploaded. Don't buy it,mobile,1,anger/sadness,93.24%,HIGH
TKT-1435,"Voice not much clear when I call another caller can’t hear clearly after 3 months start hanging , he",mobile accessories,1,anger/sadness,76.46%,HIGH
TKT-1448,Waste product don’t buy it cheap processor,mobile accessories,1,anger/sadness,97.55%,HIGH
TKT-1452,"I had purchased this phone in the month of june 2019, since the date of purchase i have been facing ",mobile accessories,3,anger/sadness,42.20%,HIGH
TKT-1463,Touch screen is not working without and physical damage within 4 month of purchase. Software problem,mobile,2,anger/sadness,89.12%,HIGH
TKT-1465,In three months mobile stopped functioning. Now I am running pillar to post.. 9000/- gone in drain 😈,mobile,1,anger/sadness,73.45%,HIGH
TKT-1468,Everything's ok ... But small hanging issue... Nd front camera not goood.... Yellow shade,mobile accessories,5,neutral,39.98%,MEDIUM
TKT-1475,"It's almost perfect for me. However, note that its not ok if you intend to use it while jogging or r",mobile accessories,3,anger/sadness,38.75%,HIGH
TKT-1476,"screen ia very weak ,cant face slow force on it.gorilla glass is must for these phones.",mobile accessories,3,neutral,51.90%,MEDIUM
TKT-1482,"This is the worst phone I've ever seen. Battery is completely useless,8 out of 10 times the touch do",mobile,1,anger/sadness,92.81%,HIGH
TKT-1488,Received product within 3 days. LG technician came for installation found faulty card reader. He gav,smartTv,1,anger/sadness,72.19%,HIGH
TKT-1489,Battery drain too early no back up even half day. I think repaired phone provided to me . Amazon sho,mobile,1,anger/sadness,35.74%,HIGH
TKT-1495,"Worst product ,please don't buy .. Camera quality is blur often .. Battery is not as expected.. Phon",mobile accessories,1,anger/sadness,82.88%,HIGH
TKT-1505,The phone has following problems 1. Hearing Issue : Caller or Receiver is not able to hear properly.,smartTv,1,anger/sadness,86.13%,HIGH
TKT-1515,Product received without sealed polythin layers..it may not treated as originally manufacturing prod,smartTv,2,anger/sadness,79.91%,HIGH
TKT-1521,i wanna help form amazon ....i had ordered this 8month ago from amazon n from very 3rd month its sta,mobile,2,anger/sadness,86.38%,HIGH
TKT-1529,Just I took in March & now it's not at all working. Worst product,mobile,3,anger/sadness,79.81%,HIGH
TKT-1536,"But its processor too slow Any time this mobile can be hang,this one is biggest problem in this mobi",smartTv,3,anger/sadness,51.21%,HIGH
TKT-1540,Bought 1 month back. Currently facing problem during charging. It takes charging and some time it do,mobile,2,anger/sadness,68.29%,HIGH
TKT-1541,Selfie camera is too bad....high white balance☹️☹️.... back cam is not48mp,mobile,3,neutral,50.68%,MEDIUM
TKT-1543,Getting hang after every 5 minutes behaves slightly random,mobile,1,anger/sadness,60.28%,HIGH
TKT-1545,Received a pirated copy.,books,1,anger/sadness,61.29%,HIGH
TKT-1546,Pathetic phone delivered. Coudnt even use it for a day. When switched on to setup a new phone it sho,smartTv,1,anger/sadness,96.38%,HIGH
TKT-1551,"Touch stopped working after 1 month, service center denied for replacement, asking for money, Never ",mobile,1,anger/sadness,95.73%,HIGH
TKT-1557,I got this product for my friend as a gift and it won't charge ..... Worst buy from Amazon till date,refrigerator,1,anger/sadness,77.73%,HIGH
TKT-1558,"It's been just less than a year I bought iPhone 6s model, and the device failed to switch on now. I ",mobile,1,anger/sadness,56.08%,HIGH
TKT-1559,"It's a let down, I purchased shinco based on internet review's. But it lacks lots of basic features.",smartTv,2,anger/sadness,69.94%,HIGH
TKT-1561,"The phone performance is so so. I have purchased 128gb with 6 gb model. A piece of advice, this hand",mobile accessories,2,anger/sadness,40.85%,HIGH
TKT-1566,Seriously is this a camera phone? I havent seen such a pathetic back camera even in 3k phones. Front,mobile,3,anger/sadness,40.87%,HIGH
TKT-1567,"The mobile not supporting any sim, it's not taking any network, we tried with around 10 sim cards bu",mobile,1,anger/sadness,79.48%,HIGH
TKT-1570,"I purchased this phone on the day of its sale, when there were no reviews available. I made a big mi",mobile accessories,2,anger/sadness,53.11%,HIGH
TKT-1571,"Speaker clarity is not up to the mark , design and camera is k , & exchange policy is worst",mobile accessories,2,anger/sadness,87.00%,HIGH
TKT-1576,"Don't buy any Sony LCD TV, they provide the worst service. I recently bought a LED TV and started to",smartTv,1,anger/sadness,87.36%,HIGH
TKT-1579,This was good product for first 10 days and all of sudden auto flash stopped working. Now trying to ,refrigerator,2,anger/sadness,45.75%,HIGH
